time,open,high,low,close,tick_volume
2025-06-16 03:35:00,1.15419,1.15436,1.15411,1.15414,296
2025-06-16 03:40:00,1.15414,1.15419,1.1538,1.15385,196
2025-06-16 03:45:00,1.15385,1.15386,1.15364,1.15367,219
2025-06-16 03:50:00,1.15367,1.15368,1.15309,1.15341,301
2025-06-16 03:55:00,1.1534,1.15356,1.15315,1.15348,187
2025-06-16 04:00:00,1.15343,1.15408,1.15327,1.15406,332
2025-06-16 04:05:00,1.15406,1.15406,1.15325,1.15337,287
2025-06-16 04:10:00,1.15337,1.15401,1.15337,1.15388,241
2025-06-16 04:15:00,1.15388,1.15407,1.15371,1.15387,201
2025-06-16 04:20:00,1.15387,1.15411,1.15381,1.15381,264
2025-06-16 04:25:00,1.15381,1.15387,1.1536,1.15381,247
2025-06-16 04:30:00,1.15381,1.15444,1.15376,1.15412,329
2025-06-16 04:35:00,1.15412,1.15415,1.15325,1.15368,318
2025-06-16 04:40:00,1.15366,1.15374,1.15332,1.1537,260
2025-06-16 04:45:00,1.1537,1.15395,1.15356,1.1536,240
2025-06-16 04:50:00,1.1536,1.15386,1.15333,1.15336,257
2025-06-16 04:55:00,1.15336,1.1536,1.1532,1.15323,197
2025-06-16 05:00:00,1.15323,1.15331,1.15293,1.15317,270
2025-06-16 05:05:00,1.15313,1.15337,1.15264,1.15328,331
2025-06-16 05:10:00,1.15328,1.15351,1.15322,1.15323,261
2025-06-16 05:15:00,1.15323,1.15351,1.15306,1.15342,246
2025-06-16 05:20:00,1.15342,1.15364,1.15337,1.15356,288
2025-06-16 05:25:00,1.15356,1.15363,1.15312,1.15321,251
2025-06-16 05:30:00,1.15321,1.15325,1.15309,1.15312,208
2025-06-16 05:35:00,1.15312,1.15333,1.1529,1.15322,181
2025-06-16 05:40:00,1.15322,1.15336,1.15299,1.15321,226
2025-06-16 05:45:00,1.15321,1.15344,1.15302,1.15333,154
2025-06-16 05:50:00,1.15333,1.15362,1.15329,1.15346,196
2025-06-16 05:55:00,1.15346,1.15348,1.1529,1.15304,246
2025-06-16 06:00:00,1.15304,1.15322,1.15293,1.15314,208
2025-06-16 06:05:00,1.15314,1.1535,1.153,1.15302,189
2025-06-16 06:10:00,1.15302,1.15304,1.15271,1.15292,188
2025-06-16 06:15:00,1.15292,1.15293,1.15258,1.15261,153
2025-06-16 06:20:00,1.15261,1.15303,1.15237,1.15294,265
2025-06-16 06:25:00,1.15294,1.15324,1.15294,1.15315,211
2025-06-16 06:30:00,1.15315,1.15332,1.15287,1.15321,159
2025-06-16 06:35:00,1.15321,1.15334,1.15286,1.15291,141
2025-06-16 06:40:00,1.15291,1.15309,1.15283,1.15291,167
2025-06-16 06:45:00,1.15291,1.15299,1.15263,1.15266,155
2025-06-16 06:50:00,1.15266,1.15289,1.15262,1.15266,214
2025-06-16 06:55:00,1.15266,1.15278,1.15251,1.15274,204
2025-06-16 07:00:00,1.15274,1.1531,1.15272,1.15308,286
2025-06-16 07:05:00,1.15308,1.15315,1.15288,1.153,143
2025-06-16 07:10:00,1.153,1.15341,1.15293,1.1532,221
2025-06-16 07:15:00,1.1532,1.15337,1.15315,1.15319,125
2025-06-16 07:20:00,1.15319,1.1534,1.15317,1.15331,105
2025-06-16 07:25:00,1.15331,1.15364,1.15328,1.15348,155
2025-06-16 07:30:00,1.15348,1.15371,1.15346,1.15367,110
2025-06-16 07:35:00,1.15367,1.15367,1.15335,1.15355,124
2025-06-16 07:40:00,1.15355,1.15361,1.15336,1.15348,173
2025-06-16 07:45:00,1.15348,1.15358,1.15338,1.15342,160
2025-06-16 07:50:00,1.15342,1.15357,1.15322,1.15356,169
2025-06-16 07:55:00,1.15356,1.15367,1.15338,1.15359,152
2025-06-16 08:00:00,1.1536,1.15415,1.15358,1.15401,253
2025-06-16 08:05:00,1.15401,1.15454,1.15373,1.15448,216
2025-06-16 08:10:00,1.15448,1.15484,1.15437,1.15462,264
2025-06-16 08:15:00,1.15462,1.15512,1.1546,1.15476,319
2025-06-16 08:20:00,1.15476,1.15545,1.15474,1.15544,212
2025-06-16 08:25:00,1.15544,1.15584,1.15537,1.15559,244
2025-06-16 08:30:00,1.15559,1.15602,1.15555,1.15597,250
2025-06-16 08:35:00,1.15597,1.15626,1.15573,1.15599,207
2025-06-16 08:40:00,1.15599,1.15606,1.15556,1.15565,223
2025-06-16 08:45:00,1.15565,1.15589,1.1556,1.15587,153
2025-06-16 08:50:00,1.15587,1.15619,1.15569,1.15604,292
2025-06-16 08:55:00,1.15603,1.15613,1.15567,1.15569,203
2025-06-16 09:00:00,1.15569,1.15585,1.15548,1.15569,307
2025-06-16 09:05:00,1.15569,1.15602,1.15543,1.15545,277
2025-06-16 09:10:00,1.15545,1.15547,1.155,1.15525,309
2025-06-16 09:15:00,1.15525,1.15548,1.15467,1.15472,254
2025-06-16 09:20:00,1.15472,1.15519,1.15457,1.15459,307
2025-06-16 09:25:00,1.15459,1.15496,1.15405,1.15429,333
