time,open,high,low,close,tick_volume
2023-11-03 16:00:00,2000.23,2001.68,1986.59,1990.35,33547
2023-11-03 20:00:00,1990.35,1995.14,1989.88,1992.52,11969
2023-11-06 00:00:00,1992.4,1993.14,1987.04,1992.16,8580
2023-11-06 04:00:00,1992.18,1993.0,1982.08,1983.95,10625
2023-11-06 08:00:00,1983.94,1987.9,1982.32,1986.84,12429
2023-11-06 12:00:00,1986.91,1989.14,1983.43,1986.32,15279
2023-11-06 16:00:00,1986.36,1988.25,1979.95,1983.75,20800
2023-11-06 20:00:00,1983.74,1983.77,1977.4,1977.82,8881
2023-11-07 00:00:00,1977.83,1978.36,1974.8,1975.78,6153
2023-11-07 04:00:00,1975.77,1976.2,1971.02,1973.72,7881
2023-11-07 08:00:00,1973.72,1973.92,1964.17,1966.38,13953
2023-11-07 12:00:00,1966.35,1968.02,1956.68,1966.58,20021
2023-11-07 16:00:00,1966.6,1967.3,1960.21,1964.0,23543
2023-11-07 20:00:00,1964.02,1969.86,1963.67,1969.03,10504
2023-11-08 00:00:00,1968.77,1970.02,1967.5,1968.66,6586
2023-11-08 04:00:00,1968.66,1971.06,1965.04,1965.62,7607
2023-11-08 08:00:00,1965.63,1969.14,1965.12,1965.51,12683
2023-11-08 12:00:00,1965.5,1966.69,1959.54,1964.87,16529
2023-11-08 16:00:00,1964.85,1966.34,1950.93,1953.75,25370
2023-11-08 20:00:00,1953.82,1954.71,1947.44,1950.2,11056
2023-11-09 00:00:00,1950.0,1954.62,1948.96,1953.4,6742
2023-11-09 04:00:00,1953.42,1953.42,1947.84,1950.21,8552
2023-11-09 08:00:00,1950.21,1950.52,1944.64,1946.89,11511
2023-11-09 12:00:00,1946.88,1951.4,1944.82,1950.62,14532
2023-11-09 16:00:00,1950.65,1964.94,1948.62,1961.87,24362
2023-11-09 20:00:00,1961.87,1965.58,1956.16,1958.41,17374
2023-11-10 00:00:00,1958.3,1960.82,1957.95,1959.14,7471
2023-11-10 04:00:00,1959.14,1960.47,1956.4,1957.35,7993
2023-11-10 08:00:00,1957.34,1958.19,1953.58,1953.92,12276
2023-11-10 12:00:00,1953.88,1954.36,1943.21,1946.16,17926
2023-11-10 16:00:00,1946.19,1947.63,1936.58,1936.77,25915
2023-11-10 20:00:00,1936.75,1938.8,1933.04,1938.62,10830
2023-11-13 00:00:00,1938.57,1941.96,1936.36,1940.37,8026
2023-11-13 04:00:00,1940.37,1941.31,1934.07,1939.16,10040
2023-11-13 08:00:00,1939.19,1941.22,1935.97,1938.23,12825
2023-11-13 12:00:00,1938.22,1939.74,1933.99,1936.03,14291
2023-11-13 16:00:00,1936.03,1949.2,1931.72,1945.78,22787
2023-11-13 20:00:00,1945.78,1948.05,1944.89,1946.1,8557
2023-11-14 00:00:00,1946.17,1948.42,1945.45,1945.7,5421
2023-11-14 04:00:00,1945.7,1946.67,1943.81,1944.48,7550
2023-11-14 08:00:00,1944.48,1947.98,1944.19,1947.13,11227
2023-11-14 12:00:00,1947.19,1959.14,1944.35,1954.34,16438
2023-11-14 16:00:00,1954.27,1970.89,1953.62,1962.2,28152
2023-11-14 20:00:00,1962.21,1964.52,1961.66,1963.16,9250
2023-11-15 00:00:00,1962.58,1963.96,1961.6,1962.7,7044
2023-11-15 04:00:00,1962.72,1967.97,1962.57,1966.94,9630
2023-11-15 08:00:00,1966.95,1972.59,1966.81,1971.53,15178
2023-11-15 12:00:00,1971.49,1975.1,1963.44,1965.65,17711
2023-11-15 16:00:00,1965.67,1966.67,1955.44,1961.45,25612
2023-11-15 20:00:00,1961.45,1962.29,1958.94,1959.19,9800
2023-11-16 00:00:00,1960.08,1961.37,1957.63,1958.48,5511
2023-11-16 04:00:00,1958.48,1963.93,1956.52,1962.93,7671
2023-11-16 08:00:00,1962.93,1968.58,1962.82,1966.22,12532
2023-11-16 12:00:00,1966.18,1972.96,1962.12,1972.12,15017
2023-11-16 16:00:00,1972.12,1987.96,1971.53,1983.41,28118
2023-11-16 20:00:00,1983.5,1985.25,1980.66,1981.1,9805
2023-11-17 00:00:00,1980.86,1986.94,1980.64,1983.54,6120
2023-11-17 04:00:00,1983.54,1987.12,1983.28,1984.46,8223
2023-11-17 08:00:00,1984.46,1992.39,1982.63,1991.32,14498
2023-11-17 12:00:00,1991.35,1993.42,1983.59,1984.81,18459
2023-11-17 16:00:00,1984.8,1986.72,1978.64,1981.16,24330
2023-11-17 20:00:00,1981.16,1982.76,1979.08,1980.56,8517
2023-11-20 00:00:00,1978.25,1983.06,1973.46,1981.14,9568
2023-11-20 04:00:00,1981.15,1985.25,1979.64,1980.68,13850
2023-11-20 08:00:00,1980.69,1981.88,1975.89,1979.32,15983
2023-11-20 12:00:00,1979.33,1979.57,1965.66,1968.28,17867
2023-11-20 16:00:00,1968.24,1976.32,1965.42,1973.87,22549
2023-11-20 20:00:00,1973.81,1978.98,1973.51,1977.65,11531
2023-11-21 00:00:00,1977.91,1990.39,1977.71,1990.08,9845
2023-11-21 04:00:00,1990.05,1994.29,1988.86,1991.72,13055
2023-11-21 08:00:00,1991.75,1994.31,1984.34,1985.41,16595
2023-11-21 12:00:00,1985.42,2000.24,1985.37,1997.54,17202
2023-11-21 16:00:00,1997.67,2007.57,1997.31,2001.52,26544
2023-11-21 20:00:00,2001.52,2001.82,1996.25,1998.26,12701
2023-11-22 00:00:00,1998.88,1999.91,1995.86,1996.17,7566
2023-11-22 04:00:00,1996.19,2000.4,1995.52,1998.88,9460
2023-11-22 08:00:00,1998.88,2006.24,1998.28,2002.16,16842
2023-11-22 12:00:00,2002.15,2003.35,1996.84,1999.15,17670
2023-11-22 16:00:00,1999.16,2002.44,1988.67,1991.58,24900
2023-11-22 20:00:00,1991.44,1992.67,1986.91,1989.81,9882
2023-11-23 00:00:00,1989.18,1994.01,1989.12,1993.51,5828
2023-11-23 04:00:00,1993.51,1998.26,1993.21,1996.32,7887
2023-11-23 08:00:00,1996.37,1998.51,1992.25,1994.41,12002
2023-11-23 12:00:00,1994.39,1994.88,1992.0,1992.8,8517
2023-11-23 16:00:00,1992.81,1994.93,1989.9,1992.84,8581
2023-11-23 20:00:00,1992.84,1993.05,1991.88,1992.74,948
2023-11-24 00:00:00,1992.98,1995.0,1991.45,1992.91,5423
2023-11-24 04:00:00,1992.9,1994.75,1991.53,1994.36,8343
2023-11-24 08:00:00,1994.36,1994.97,1992.05,1994.58,10012
2023-11-24 12:00:00,1994.61,2001.94,1994.39,1999.65,13266
2023-11-24 16:00:00,1999.75,2003.67,1997.19,2001.01,20516
2023-11-24 20:00:00,2000.97,2002.84,1999.86,2002.44,1238
2023-11-27 00:00:00,2002.4,2018.19,2000.64,2012.01,11804
2023-11-27 04:00:00,2012.06,2013.74,2007.43,2010.7,12945
2023-11-27 08:00:00,2010.69,2015.52,2008.77,2013.4,13702
2023-11-27 12:00:00,2013.43,2016.26,2009.82,2011.35,16346
2023-11-27 16:00:00,2011.42,2014.94,2005.72,2009.95,22628
2023-11-27 20:00:00,2009.99,2014.64,2009.51,2014.18,8492
2023-11-28 00:00:00,2014.05,2018.14,2013.33,2015.46,8352
2023-11-28 04:00:00,2015.51,2017.7,2014.16,2015.27,9165
2023-11-28 08:00:00,2015.24,2016.84,2012.02,2015.99,13106
2023-11-28 12:00:00,2016.02,2021.54,2011.7,2021.49,14850
2023-11-28 16:00:00,2021.49,2043.04,2020.63,2040.76,29441
2023-11-28 20:00:00,2040.85,2042.54,2038.21,2041.07,11291
2023-11-29 00:00:00,2041.13,2051.99,2040.85,2048.9,11519
2023-11-29 04:00:00,2048.81,2049.07,2043.02,2046.01,13021
2023-11-29 08:00:00,2046.02,2046.26,2035.41,2038.46,17599
2023-11-29 12:00:00,2038.45,2043.02,2036.76,2039.14,18231
2023-11-29 16:00:00,2039.16,2046.92,2037.11,2045.12,26957
2023-11-29 20:00:00,2045.12,2049.55,2042.74,2044.12,11061
2023-11-30 00:00:00,2044.88,2046.86,2043.17,2043.37,6892
2023-11-30 04:00:00,2043.37,2047.2,2041.44,2041.81,9658
2023-11-30 08:00:00,2041.72,2046.94,2038.8,2039.99,14108
2023-11-30 12:00:00,2040.03,2043.81,2034.01,2036.84,18286
2023-11-30 16:00:00,2036.83,2041.35,2031.24,2037.05,27565
2023-11-30 20:00:00,2037.08,2038.7,2033.71,2036.09,10810
2023-12-01 00:00:00,2036.88,2043.47,2036.6,2041.77,7513
2023-12-01 04:00:00,2041.72,2042.82,2038.71,2041.07,9143
2023-12-01 08:00:00,2041.02,2049.86,2039.28,2046.4,14485
2023-12-01 12:00:00,2046.42,2047.24,2033.89,2037.75,17384
2023-12-01 16:00:00,2037.7,2067.7,2035.24,2067.3,32908
2023-12-01 20:00:00,2067.3,2075.36,2065.6,2071.63,16041
2023-12-04 00:00:00,2072.38,2143.85,2071.82,2087.81,18665
2023-12-04 04:00:00,2087.8,2090.55,2081.75,2086.06,12990
2023-12-04 08:00:00,2086.06,2087.94,2057.86,2071.04,20765
2023-12-04 12:00:00,2071.07,2071.8,2055.96,2057.68,18401
2023-12-04 16:00:00,2057.86,2057.98,2020.15,2025.96,34730
2023-12-04 20:00:00,2026.04,2032.32,2022.17,2028.89,12906
2023-12-05 00:00:00,2029.44,2041.24,2028.54,2035.64,10334
2023-12-05 04:00:00,2035.64,2038.39,2030.48,2032.18,10617
2023-12-05 08:00:00,2032.18,2039.57,2028.5,2028.95,17572
2023-12-05 12:00:00,2028.87,2030.86,2021.59,2029.52,20744
2023-12-05 16:00:00,2029.52,2030.12,2009.92,2017.22,32232
2023-12-05 20:00:00,2017.22,2020.89,2016.74,2019.36,10087
2023-12-06 00:00:00,2018.63,2022.68,2017.24,2020.85,7146
2023-12-06 04:00:00,2020.86,2025.46,2019.74,2024.84,8331
2023-12-06 08:00:00,2024.84,2035.88,2020.21,2021.2,16009
2023-12-06 12:00:00,2021.21,2031.88,2020.24,2030.2,17795
2023-12-06 16:00:00,2030.41,2033.05,2022.69,2029.52,27234
2023-12-06 20:00:00,2029.5,2031.27,2024.48,2025.26,9071
2023-12-07 00:00:00,2026.08,2029.65,2025.36,2026.22,6631
2023-12-07 04:00:00,2026.2,2030.04,2025.31,2026.86,9670
2023-12-07 08:00:00,2026.92,2034.82,2026.28,2034.16,16288
2023-12-07 12:00:00,2034.17,2039.92,2029.57,2037.16,18166
2023-12-07 16:00:00,2037.2,2037.51,2020.15,2028.84,27455
2023-12-07 20:00:00,2028.87,2032.02,2027.69,2028.54,11172
2023-12-08 00:00:00,2028.76,2033.11,2026.89,2032.2,10963
2023-12-08 04:00:00,2032.33,2034.0,2029.34,2030.04,9826
2023-12-08 08:00:00,2030.05,2031.39,2026.56,2028.63,15353
2023-12-08 12:00:00,2028.64,2032.4,2014.63,2018.62,18803
2023-12-08 16:00:00,2018.68,2019.3,1994.67,1997.17,30560
2023-12-08 20:00:00,1997.24,2005.08,1996.37,2004.04,10039
2023-12-11 00:00:00,2003.67,2007.83,2001.77,2002.16,10236
2023-12-11 04:00:00,2002.16,2002.83,1994.91,1998.86,10553
2023-12-11 08:00:00,1998.87,2000.59,1991.32,1993.42,15164
2023-12-11 12:00:00,1993.43,1996.76,1990.22,1993.72,15617
2023-12-11 16:00:00,1994.02,1994.46,1976.14,1976.76,21997
2023-12-11 20:00:00,1976.82,1983.13,1975.92,1981.69,9857
2023-12-12 00:00:00,1982.1,1989.53,1981.86,1983.3,8213
2023-12-12 04:00:00,1983.29,1987.89,1982.01,1987.58,7679
2023-12-12 08:00:00,1987.54,1989.08,1982.76,1985.98,10737
2023-12-12 12:00:00,1985.98,1996.73,1982.71,1984.46,16216
2023-12-12 16:00:00,1984.6,1989.79,1977.23,1977.83,23706
2023-12-12 20:00:00,1977.82,1981.1,1977.57,1979.3,10180
2023-12-13 00:00:00,1979.63,1982.81,1979.61,1980.17,5771
2023-12-13 04:00:00,1980.16,1980.42,1977.63,1978.81,6283
2023-12-13 08:00:00,1978.81,1982.63,1973.02,1982.53,11926
2023-12-13 12:00:00,1982.47,1986.76,1979.64,1984.51,12887
2023-12-13 16:00:00,1984.48,1986.17,1978.53,1982.21,20340
2023-12-13 20:00:00,1982.19,2027.79,1979.69,2027.23,24958
2023-12-14 00:00:00,2028.36,2039.3,2024.35,2032.45,14245
2023-12-14 04:00:00,2032.5,2036.01,2030.15,2035.29,16279
2023-12-14 08:00:00,2035.3,2040.32,2029.27,2036.64,21429
2023-12-14 12:00:00,2036.64,2039.2,2027.5,2037.23,21694
2023-12-14 16:00:00,2037.23,2047.91,2034.68,2036.16,29443
2023-12-14 20:00:00,2036.11,2036.69,2029.08,2036.2,13928
2023-12-15 00:00:00,2036.41,2038.71,2031.37,2032.31,8512
2023-12-15 04:00:00,2032.23,2037.53,2031.89,2035.3,10022
2023-12-15 08:00:00,2035.3,2044.17,2034.32,2042.66,15343
2023-12-15 12:00:00,2042.64,2044.93,2026.94,2031.42,17300
2023-12-15 16:00:00,2031.46,2038.54,2031.32,2032.79,25590
2023-12-15 20:00:00,2032.79,2033.79,2015.59,2019.02,14777
2023-12-18 00:00:00,2019.62,2023.37,2016.01,2019.39,8952
2023-12-18 04:00:00,2019.36,2024.6,2019.05,2023.14,8359
2023-12-18 08:00:00,2023.14,2027.36,2021.56,2022.94,13630
2023-12-18 12:00:00,2022.99,2026.18,2018.77,2025.89,12520
2023-12-18 16:00:00,2025.89,2033.55,2020.3,2033.49,17106
2023-12-18 20:00:00,2033.55,2033.64,2025.02,2027.21,8360
2023-12-19 00:00:00,2027.52,2029.31,2025.66,2026.15,5996
2023-12-19 04:00:00,2026.16,2026.55,2021.71,2024.15,9510
2023-12-19 08:00:00,2024.17,2028.45,2022.97,2026.32,13169
2023-12-19 12:00:00,2026.32,2032.67,2024.24,2030.0,13445
2023-12-19 16:00:00,2030.0,2047.0,2028.99,2040.44,22268
2023-12-19 20:00:00,2040.46,2040.91,2036.74,2040.13,9261
2023-12-20 00:00:00,2040.1,2041.68,2037.68,2038.23,6822
2023-12-20 04:00:00,2038.15,2041.39,2036.77,2041.25,6303
2023-12-20 08:00:00,2041.3,2043.48,2039.65,2040.01,11357
2023-12-20 12:00:00,2040.01,2040.43,2029.62,2036.42,13655
